Company,Current_Price_INR,PE_Ratio,Market_Cap_Crore,Quarterly_Profit_Growth_Percent,Quarterly_Sales_Growth_Percent,ROCE_Percent,Expected_PE_Ratio,Cap_Category,Is_profitable
20 Microns,200.08,10.52,706.01,14.99,14.8,17.43,173.99773893382036,Small Cap,True
21st Cent. Mgmt.,33.2,0.0,34.86,-19.06,-27.89,-57.0,41.01803805287868,Micro Cap,False
360 ONE,1085.4,36.3,44141.59,15.68,35.91,12.13,938.2780082987553,Large Cap,True
3B Blackbio,1159.7,16.99,995.33,13.81,57.47,25.48,1018.9790000878656,Small Cap,True
3B Films,16.58,22.32,41.07,36.76,-11.85,4.83,12.123427902895584,Micro Cap,True
3C IT Solutions,16.5,17.12,9.93,290.91,186.33,5.12,4.220920416464147,Micro Cap,True
3i Infotech,17.29,9.41,358.6,-72.97,-6.0,12.99,63.96596374398816,Micro Cap,True
3M India,33380.0,69.37,37619.26,159.73,16.78,50.05,12851.807646402034,Large Cap,True
3P Land Hold.,31.64,26.12,56.95,13.51,10.99,2.38,27.87419610606995,Micro Cap,True
5paisa Capital,353.6,37.51,1657.76,7.85,19.85,9.93,327.86277236903106,Small Cap,True
63 Moons Tech.,669.5,0.0,3084.96,-138.76,881.22,-3.71,-1727.2961816305472,Small Cap,False
7NR Retail Ltd,5.69,106.27,15.94,-124.62,-102.68,0.56,-23.11129163281885,Micro Cap,True
7Seas Enter.,77.57,80.39,179.28,11.32,13.94,9.16,69.68199784405317,Micro Cap,True
A B B,6993.0,97.28,148187.53,-25.23,5.78,29.93,9352.681556774107,Large Cap,True
A B Infrabuild,11.73,38.72,749.3,-14.16,16.98,16.06,13.664958061509786,Small Cap,True
A B Lifestyle,97.57,56.94,11908.63,57.68,11.95,14.67,61.87848807711821,Mid Cap,True
A B M Internatl.,40.74,0.0,38.33,196.57,-18.68,-8.5,13.73706039046431,Micro Cap,False
A B Real Estate,1346.7,0.0,15042.06,-509.0,-79.07,-4.26,-329.2665036674817,Mid Cap,False
A C J K Exports,127.34,12.77,1318.63,65.64,19.7,15.7,76.87756580536102,Small Cap,True
A F Enterprises,1.69,0.0,5.65,6.67,370.0,-2.24,1.584325489828443,Micro Cap,False
A G Universal,63.9,438.0,35.04,-180.39,32.4,5.13,-79.48749844508025,Micro Cap,True
A-1,7.32,56.21,336.72,419.05,32.52,11.66,1.4102687602350448,Micro Cap,True
